65,413,5,7,20,7,19,8,19,8,18,33
65,453,8,8,22,9,22,9,21,9,21,36
65,400,6,7,18,7,17,8,17,8,17,34
65,406,7,7,21,7,19,7,18,7,18,34
65,404,3,6,19,6,18,7,18,8,18,34
65,403,6,7,19,8,18,8,17,9,17,34
65,424,7,7,22,7,21,8,19,8,19,33
65,413,5,6,24,6,20,7,18,9,18,34
65,431,8,8,20,8,18,9,18,9,18,35
65,416,5,6,22,8,21,8,20,8,20,33
65,431,7,7,22,8,19,8,19,9,19,36
65,457,8,9,21,9,19,10,19,10,18,37
65,411,7,7,21,8,20,8,19,8,19,35
65,408,6,7,20,7,20,8,19,8,17,33
65,392,7,7,19,7,18,8,17,8,17,34
65,423,7,8,20,8,18,9,18,9,18,35
65,422,5,7,20,7,18,8,18,9,18,35
65,421,7,7,20,7,20,8,20,8,19,34
65,382,5,6,18,7,17,7,17,7,16,33
65,398,5,7,19,7,18,7,18,7,18,35
65,428,3,7,22,7,22,7,20,7,18,34
65,396,5,7,20,7,20,7,19,7,18,33
65,430,6,7,20,8,20,8,19,9,16,36
65,414,7,8,22,8,18,8,17,8,17,35
65,443,7,7,19,7,18,7,18,9,18,36
65,417,6,8,20,8,19,8,19,8,18,34
65,447,5,6,20,6,20,7,19,8,19,36
65,432,6,6,20,7,19,7,19,7,19,35
65,402,7,7,20,7,19,8,18,8,17,35
65,422,8,9,23,9,22,9,20,9,19,35
65,437,8,9,19,9,19,9,18,10,18,36
65,415,8,8,22,8,18,9,18,9,17,35
65,412,7,7,21,8,19,9,18,9,17,35
65,466,9,9,22,9,20,10,20,10,19,37
65,438,7,7,23,7,22,9,20,9,20,36
65,413,5,8,19,9,19,9,19,9,17,35
65,436,8,8,22,8,21,9,20,9,19,35
65,432,6,7,21,7,21,8,20,9,19,36
65,393,4,5,18,6,18,6,18,7,18,33
65,415,5,6,20,7,19,8,19,8,18,35
65,437,7,9,20,9,20,9,19,9,19,35
65,402,6,7,23,7,21,7,17,8,17,33
65,415,6,6,19,7,17,8,17,8,17,36
65,413,5,6,20,6,20,8,18,8,18,35
65,412,5,7,22,7,21,8,18,8,17,34
65,381,6,7,20,7,19,8,17,8,16,33
65,448,5,6,24,7,22,7,19,8,19,36
65,413,5,7,20,7,19,8,19,8,18,33
65,453,8,8,22,9,22,9,21,9,21,36
65,400,6,7,18,7,17,8,17,8,17,34
65,406,7,7,21,7,19,7,18,7,18,34
65,404,3,6,19,6,18,7,18,8,18,34
65,403,6,7,19,8,18,8,17,9,17,34
65,424,7,7,22,7,21,8,19,8,19,33
65,413,5,6,24,6,20,7,18,9,18,34
65,431,8,8,20,8,18,9,18,9,18,35
65,416,5,6,22,8,21,8,20,8,20,33
65,431,7,7,22,8,19,8,19,9,19,36
65,457,8,9,21,9,19,10,19,10,18,37
65,411,7,7,21,8,20,8,19,8,19,35
65,408,6,7,20,7,20,8,19,8,17,33
65,392,7,7,19,7,18,8,17,8,17,34
65,423,7,8,20,8,18,9,18,9,18,35
65,422,5,7,20,7,18,8,18,9,18,35
65,421,7,7,20,7,20,8,20,8,19,34
65,382,5,6,18,7,17,7,17,7,16,33
65,398,5,7,19,7,18,7,18,7,18,35
65,428,3,7,22,7,22,7,20,7,18,34
65,396,5,7,20,7,20,7,19,7,18,33
65,430,6,7,20,8,20,8,19,9,16,36
65,414,7,8,22,8,18,8,17,8,17,35
65,443,7,7,19,7,18,7,18,9,18,36
65,417,6,8,20,8,19,8,19,8,18,34
65,447,5,6,20,6,20,7,19,8,19,36
65,432,6,6,20,7,19,7,19,7,19,35
65,402,7,7,20,7,19,8,18,8,17,35
65,422,8,9,23,9,22,9,20,9,19,35
65,437,8,9,19,9,19,9,18,10,18,36
65,415,8,8,22,8,18,9,18,9,17,35
65,412,7,7,21,8,19,9,18,9,17,35
65,466,9,9,22,9,20,10,20,10,19,37
65,438,7,7,23,7,22,9,20,9,20,36
65,413,5,8,19,9,19,9,19,9,17,35
65,436,8,8,22,8,21,9,20,9,19,35
65,432,6,7,21,7,21,8,20,9,19,36
65,393,4,5,18,6,18,6,18,7,18,33
65,415,5,6,20,7,19,8,19,8,18,35
65,437,7,9,20,9,20,9,19,9,19,35
65,402,6,7,23,7,21,7,17,8,17,33
65,415,6,6,19,7,17,8,17,8,17,36
65,413,5,6,20,6,20,8,18,8,18,35
65,412,5,7,22,7,21,8,18,8,17,34
65,381,6,7,20,7,19,8,17,8,16,33
65,416,6,7,22,8,21,8,19,9,18,34
65,424,8,8,21,8,20,8,18,9,18,35
65,408,6,6,19,7,18,7,18,8,17,34
65,441,8,9,19,9,19,10,19,10,19,36
65,413,6,7,20,7,19,8,18,9,18,34
65,404,5,6,22,6,20,6,18,7,18,34
65,424,7,7,19,7,18,8,17,9,17,36
65,490,9,9,29,9,22,9,21,10,20,38
65,421,7,8,20,8,19,8,18,9,17,35
65,405,5,5,21,6,19,6,19,7,18,34
65,400,5,7,20,8,20,8,18,9,17,34
65,438,5,5,22,6,20,7,18,7,18,36
65,464,7,9,21,9,21,9,20,10,19,36
65,408,3,6,21,6,21,6,19,6,18,34
65,394,1,5,17,6,17,7,17,7,16,33
65,423,6,7,20,7,20,8,19,8,19,34
